Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0006605,protein targeting,19_GO:0051179 localization,-7.4,6,8,30293,252,299,15,5,1.3,3320|3786|5824|6734|7532|9512|26519|54332|54557|55187|57154|128866|131118|131474|401505,HSP90AA1|KCNQ3|PEX19|SRPRA|YWHAG|PMPCB|TIMM10|GDAP1|SGTB|VPS13D|SMURF1|CHMP4B|DNAJC19|CHCHD4|TOMM5,-5.2
MyList,GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,19_GO:0008152 metabolic process,-7.4,4.6,7.4,30293,416,299,19,6.4,1.4,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476|139596,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD|UPRT,-5.2
MyList,GO Biological Processes,19,GO:0015986,proton motive force-driven ATP synthesis,19_GO:0008152 metabolic process,-7.4,12,9.8,30293,73,299,9,3,0.99,515|522|4700|4706|4714|4725|6391|9551|10476,ATP5PB|ATP5PF|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|ATP5MF|ATP5PD,-5.2
MyList,GO Biological Processes,19,GO:0009150,purine ribonucleotide metabolic process,19_GO:0008152 metabolic process,-7.2,4.8,7.4,30293,382,299,18,6,1.4,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD,-5.1
MyList,GO Biological Processes,19,GO:0072657,protein localization to membrane,19_GO:0051179 localization,-7.2,4.3,7.2,30293,473,299,20,6.7,1.4,88|819|1740|3320|4905|5824|6734|9270|9312|25782|26519|51248|51560|54557|55737|57154|81832|115827|128866|401505,ACTN2|CAMLG|DLG2|HSP90AA1|NSF|PEX19|SRPRA|ITGB1BP1|KCNB2|RAB3GAP2|TIMM10|PDZD11|RAB6B|SGTB|VPS35|SMURF1|NETO1|RAB3C|CHMP4B|TOMM5,-5.1
MyList,GO Biological Processes,19,GO:0009165,nucleotide biosynthetic process,19_GO:0008152 metabolic process,-7.1,5.7,7.7,30293,265,299,15,5,1.3,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476|139596,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD|UPRT,-5
MyList,GO Biological Processes,19,GO:0006164,purine nucleotide biosynthetic process,19_GO:0008152 metabolic process,-7.1,6.2,7.9,30293,228,299,14,4.7,1.2,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD,-5
MyList,GO Biological Processes,19,GO:1901293,nucleoside phosphate biosynthetic process,19_GO:0008152 metabolic process,-7.1,5.7,7.7,30293,267,299,15,5,1.3,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476|139596,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD|UPRT,-5
MyList,GO Biological Processes,19,GO:0072522,purine-containing compound biosynthetic process,19_GO:0008152 metabolic process,-7,6,7.7,30293,236,299,14,4.7,1.2,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD,-4.8
MyList,GO Biological Processes,19,GO:0022900,electron transport chain,19_GO:0008152 metabolic process,-6.9,7.2,8.1,30293,169,299,12,4,1.1,1109|1327|1353|1534|2936|4700|4706|4714|4725|6391|7386|388753,AKR1C4|COX4I1|COX11|CYB561|GSR|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|UQCRFS1|COA6,-4.8
MyList,GO Biological Processes,19,GO:0051656,establishment of organelle localization,19_GO:0051179 localization,-6.8,4.5,7.1,30293,407,299,18,6,1.4,1063|1780|3619|4131|5293|7320|7846|9342|10059|10947|22919|23025|51566|81565|81620|81929|113130|128866,CENPF|DYNC1I1|INCENP|MAP1B|PIK3CD|UBE2B|TUBA1A|SNAP29|DNM1L|AP3M2|MAPRE1|UNC13A|ARMCX3|NDEL1|CDT1|SEH1L|CDCA5|CHMP4B,-4.7
MyList,GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,19_GO:0008152 metabolic process,-6.8,3.7,6.7,30293,599,299,22,7.4,1.5,515|522|1353|1740|2821|2977|3251|3939|4351|4700|4706|4714|4725|4830|5162|6391|7167|7360|9551|10476|25996|139596,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|MPI|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|UGP2|ATP5MF|ATP5PD|REXO2|UPRT,-4.7
MyList,GO Biological Processes,19,GO:0009117,nucleotide metabolic process,19_GO:0008152 metabolic process,-6.5,3.9,6.6,30293,524,299,20,6.7,1.4,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476|25996|139596,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD|REXO2|UPRT,-4.4
MyList,GO Biological Processes,19,GO:0051303,establishment of chromosome localization,19_GO:0051179 localization,-6.4,9.7,8.4,30293,94,299,9,3,0.99,1063|3619|7320|22919|81565|81620|81929|113130|128866,CENPF|INCENP|UBE2B|MAPRE1|NDEL1|CDT1|SEH1L|CDCA5|CHMP4B,-4.3
MyList,GO Biological Processes,19,GO:0006753,nucleoside phosphate metabolic process,19_GO:0008152 metabolic process,-6.4,3.8,6.5,30293,532,299,20,6.7,1.4,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476|25996|139596,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD|REXO2|UPRT,-4.3
MyList,GO Biological Processes,19,GO:0090407,organophosphate biosynthetic process,19_GO:0008152 metabolic process,-6.2,3.7,6.4,30293,545,299,20,6.7,1.4,515|522|1353|2224|2977|3251|4700|4706|4714|4725|4830|4952|5162|5293|6391|7167|9551|10476|57515|139596,ATP5PB|ATP5PF|COX11|FDPS|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|OCRL|PDHB|PIK3CD|SDHC|TPI1|ATP5MF|ATP5PD|SERINC1|UPRT,-4.2
MyList,GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-6.2,3.2,6.2,30293,757,299,24,8,1.6,819|1386|1718|2932|3320|4905|4952|5877|7905|9217|9342|10059|10947|23760|26519|57154|80115|80148|84303|91137|94134|128866|401505|440574,CAMLG|ATF2|DHCR24|GSK3B|HSP90AA1|NSF|OCRL|RABIF|REEP5|VAPB|SNAP29|DNM1L|AP3M2|PITPNB|TIMM10|SMURF1|BAIAP2L2|SLC66A2|CHCHD6|SLC25A46|ARHGAP12|CHMP4B|TOMM5|MICOS10,-4.1
MyList,GO Biological Processes,19,GO:0010638,positive regulation of organelle organization,19_GO:0048518 positive regulation of biological process,-6.1,3.8,6.4,30293,502,299,19,6.4,1.4,88|2932|3984|4131|6836|6857|7320|9270|10059|10787|11075|11152|22919|25782|55187|55737|80115|80856|171024,ACTN2|GSK3B|LIMK1|MAP1B|SURF4|SYT1|UBE2B|ITGB1BP1|DNM1L|NCKAP1|STMN2|WDR45|MAPRE1|RAB3GAP2|VPS13D|VPS35|BAIAP2L2|LNPK|SYNPO2,-4.1
MyList,GO Biological Processes,19,GO:0033108,mitochondrial respiratory chain complex assembly,19_GO:0009987 cellular process,-6.1,9,8.1,30293,101,299,9,3,0.99,4700|4706|4714|4725|7386|29078|55245|55744|131474,NDUFA6|NDUFAB1|NDUFB8|NDUFS5|UQCRFS1|NDUFAF4|UQCC1|COA1|CHCHD4,-4.1
MyList,GO Biological Processes,19,GO:0050000,chromosome localization,19_GO:0051179 localization,-6.1,8.9,8,30293,102,299,9,3,0.99,1063|3619|7320|22919|81565|81620|81929|113130|128866,CENPF|INCENP|UBE2B|MAPRE1|NDEL1|CDT1|SEH1L|CDCA5|CHMP4B,-4.1
MyList,GO Biological Processes,19,GO:0051668,localization within membrane,19_GO:0051179 localization,-6.1,3.6,6.3,30293,557,299,20,6.7,1.4,88|819|1740|3320|4905|5824|6734|9270|9312|25782|26519|51248|51560|54557|55737|57154|81832|115827|128866|401505,ACTN2|CAMLG|DLG2|HSP90AA1|NSF|PEX19|SRPRA|ITGB1BP1|KCNB2|RAB3GAP2|TIMM10|PDZD11|RAB6B|SGTB|VPS35|SMURF1|NETO1|RAB3C|CHMP4B|TOMM5,-4
MyList,GO Biological Processes,19,GO:0006163,purine nucleotide metabolic process,19_GO:0008152 metabolic process,-6,3.9,6.4,30293,463,299,18,6,1.4,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD,-4
MyList,GO Biological Processes,19,GO:0070585,protein localization to mitochondrion,19_GO:0051179 localization,-5.8,9.8,8,30293,83,299,8,2.7,0.93,3320|9512|10059|26519|54332|131118|131474|401505,HSP90AA1|PMPCB|DNM1L|TIMM10|GDAP1|DNAJC19|CHCHD4|TOMM5,-3.8
MyList,GO Biological Processes,19,GO:0006839,mitochondrial transport,19_GO:0051179 localization,-5.7,6.2,6.9,30293,181,299,11,3.7,1.1,1386|2932|3320|9512|26519|55737|79085|91137|131118|131474|401505,ATF2|GSK3B|HSP90AA1|PMPCB|TIMM10|VPS35|SLC25A23|SLC25A46|DNAJC19|CHCHD4|TOMM5,-3.7
MyList,GO Biological Processes,19,GO:0072521,purine-containing compound metabolic process,19_GO:0008152 metabolic process,-5.6,3.7,6,30293,492,299,18,6,1.4,515|522|1353|1740|2821|2977|3251|3939|4700|4706|4714|4725|4830|5162|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|DLG2|GPI|GUCY1A2|HPRT1|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|ATP5MF|ATP5PD,-3.6
