_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.2,GO:0061180,mammary gland epithelium development,M1,1,0
1,-5.8,GO:0090087,regulation of peptide transport,M1,1,0
1,-2.4,GO:0051258,protein polymerization,M1,1,0
1,-2.8,GO:0016236,macroautophagy,M1,1,0
1,-2.2,GO:0010543,regulation of platelet activation,M1,1,0
1,-3.8,GO:0030177,positive regulation of Wnt signaling pathway,M1,1,0
1,-13,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-2.5,GO:0006939,smooth muscle contraction,M1,1,0
1,-2.3,GO:0031281,positive regulation of cyclase activity,M1,1,0
1,-3.2,GO:0032088,negative regulation of NF-kappaB transcription factor activity,M1,1,0
1,-4.1,GO:0001657,ureteric bud development,M1,1,0
1,-2.4,GO:2000564,"regulation of CD8-positive, alpha-beta T cell proliferation",M1,1,0
1,-2,GO:0030183,B cell differentiation,M1,1,0
1,-4.1,GO:0030879,mammary gland development,M1,1,0
1,-3.4,GO:0045778,positive regulation of ossification,M1,1,0
1,-5.7,GO:0045665,negative regulation of neuron differentiation,M1,1,0
1,-2,GO:0110011,regulation of basement membrane organization,M1,1,0
1,-2.4,GO:0048745,smooth muscle tissue development,M1,1,0
1,-2.6,GO:0021675,nerve development,M1,1,0
1,-3.2,GO:0048771,tissue remodeling,M1,1,0
1,-2.2,GO:0043062,extracellular structure organization,M1,1,0
1,-3,GO:0090314,positive regulation of protein targeting to membrane,M1,1,0
1,-5.8,GO:0016126,sterol biosynthetic process,M1,1,0
1,-3.8,GO:0050853,B cell receptor signaling pathway,M1,1,0
1,-2.2,GO:0035176,social behavior,M1,1,0
1,-3.2,GO:0030203,glycosaminoglycan metabolic process,M1,1,0
1,-15,GO:0016054,organic acid catabolic process,M1,1,0
1,-4.2,GO:0003014,renal system process,M1,1,0
1,-2.1,GO:1903035,negative regulation of response to wounding,M1,1,0
1,-3,GO:0001738,morphogenesis of a polarized epithelium,M1,1,0
1,-8.9,GO:0002275,myeloid cell activation involved in immune response,M1,1,0
1,-2,GO:0031102,neuron projection regeneration,M1,1,0
1,-4.2,GO:0090162,establishment of epithelial cell polarity,M1,1,0
1,-2.4,GO:0006835,dicarboxylic acid transport,M1,1,0
1,-2.7,GO:0002065,columnar/cuboidal epithelial cell differentiation,M1,1,0
1,-4.3,GO:0060411,cardiac septum morphogenesis,M1,1,0
1,-2,GO:0060443,mammary gland morphogenesis,M1,1,0
1,-4.2,GO:0032675,regulation of interleukin-6 production,M1,1,0
1,-3.5,GO:0031343,positive regulation of cell killing,M1,1,0
1,-5.5,GO:0001954,positive regulation of cell-matrix adhesion,M1,1,0
1,-3.2,GO:0032535,regulation of cellular component size,M1,1,0
1,-6.2,GO:0002444,myeloid leukocyte mediated immunity,M1,1,0
1,-5.6,GO:0051250,negative regulation of lymphocyte activation,M1,1,0
1,-6.8,GO:1904018,positive regulation of vasculature development,M1,1,0
1,-3.9,GO:1900272,negative regulation of long-term synaptic potentiation,M1,1,0
1,-4.9,GO:0043086,negative regulation of catalytic activity,M1,1,0
1,-5.7,GO:0007272,ensheathment of neurons,M1,1,0
1,-2.5,GO:0002244,hematopoietic progenitor cell differentiation,M1,1,0
1,-4.6,GO:0006914,autophagy,M1,1,0
1,-2.9,GO:0072174,metanephric tubule formation,M1,1,0
1,-2.4,GO:0051260,protein homooligomerization,M1,1,0
1,-2.9,GO:0032271,regulation of protein polymerization,M1,1,0
1,-6.9,GO:0061687,detoxification of inorganic compound,M1,1,0
