Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0006284,base-excision repair,19_GO:0050896 response to stimulus,-4.2,12,7.2,30293,42,298,5,1.7,0.74,1763|4595|5111|55031|79661,DNA2|MUTYH|PCNA|USP47|NEIL1,-1.9
MyList,GO Biological Processes,19,GO:0097190,apoptotic signaling pathway,19_GO:0050896 response to stimulus,-4.1,3.9,5.1,30293,313,298,12,4,1.1,836|1655|2872|3570|3717|8718|11083|22938|55031|55367|79073|201163,CASP3|DDX5|MKNK2|IL6R|JAK2|TNFRSF25|DIDO1|SNW1|USP47|PIDD1|TMEM109|FLCN,-1.8
MyList,GO Biological Processes,19,GO:0048511,rhythmic process,19_GO:0048511 rhythmic process,-4.1,4.2,5.2,30293,267,298,11,3.7,1.1,406|836|1655|2146|5111|8322|9353|9572|9612|23435|83759,BMAL1|CASP3|DDX5|EZH2|PCNA|FZD4|SLIT2|NR1D1|NCOR2|TARDBP|RBM4B,-1.7
MyList,GO Biological Processes,19,GO:0034660,ncRNA metabolic process,19_GO:0008152 metabolic process,-4.1,3.1,4.8,30293,532,298,16,5.4,1.3,1655|2976|4931|9330|10171|54464|54487|55596|55656|55718|65095|80746|84135|192670|203522|221400,DDX5|GTF3C2|NVL|GTF3C3|RCL1|XRN1|DGCR8|ZCCHC8|INTS8|POLR3E|KRI1|TSEN2|UTP15|AGO4|INTS6L|TDRD6,-1.7
MyList,GO Biological Processes,19,GO:0006264,mitochondrial DNA replication,19_GO:0008152 metabolic process,-4,30,9.3,30293,10,298,3,1,0.58,1763|11232|56652,DNA2|POLG2|TWNK,-1.6
MyList,GO Biological Processes,19,GO:0120163,negative regulation of cold-induced thermogenesis,19_GO:0042592 homeostatic process,-4,11,6.6,30293,48,298,5,1.7,0.74,406|3910|4883|9572|201163,BMAL1|LAMA4|NPR3|NR1D1|FLCN,-1.6
MyList,GO Biological Processes,19,GO:0048545,response to steroid hormone,19_GO:0050896 response to stimulus,-3.9,4,5,30293,280,298,11,3.7,1.1,836|1655|2796|3717|5111|7181|7352|9325|9353|9572|64170,CASP3|DDX5|GNRH1|JAK2|PCNA|NR2C1|UCP3|TRIP4|SLIT2|NR1D1|CARD9,-1.6
MyList,GO Biological Processes,19,GO:0000002,mitochondrial genome maintenance,19_GO:0009987 cellular process,-3.9,16,7.4,30293,26,298,4,1.3,0.67,1763|4205|11232|56652,DNA2|MEF2A|POLG2|TWNK,-1.6
MyList,GO Biological Processes,19,GO:0120161,regulation of cold-induced thermogenesis,19_GO:0042592 homeostatic process,-3.9,5.4,5.4,30293,151,298,8,2.7,0.94,406|3717|3910|4883|7840|9572|79813|201163,BMAL1|JAK2|LAMA4|NPR3|ALMS1|NR1D1|EHMT1|FLCN,-1.6
MyList,GO Biological Processes,19,GO:0042797,tRNA transcription by RNA polymerase III,19_GO:0008152 metabolic process,-3.8,28,8.8,30293,11,298,3,1,0.58,2976|9330|55718,GTF3C2|GTF3C3|POLR3E,-1.5
MyList,GO Biological Processes,19,GO:1901988,negative regulation of cell cycle phase transition,19_GO:0048519 negative regulation of biological process,-3.8,4.2,5,30293,243,298,10,3.4,1,1763|2146|5311|5932|9656|29980|51720|55031|55367|84444,DNA2|EZH2|PKD2|RBBP8|MDC1|DONSON|UIMC1|USP47|PIDD1|DOT1L,-1.5
MyList,GO Biological Processes,19,GO:0009304,tRNA transcription,19_GO:0008152 metabolic process,-3.7,25,8.4,30293,12,298,3,1,0.58,2976|9330|55718,GTF3C2|GTF3C3|POLR3E,-1.4
MyList,GO Biological Processes,19,GO:0007346,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-3.6,2.9,4.4,30293,521,298,15,5,1.3,2146|3643|5311|5932|9656|23331|29945|29980|51720|55031|55367|55835|90806|126520|196528,EZH2|INSR|PKD2|RBBP8|MDC1|TTC28|ANAPC4|DONSON|UIMC1|USP47|PIDD1|CENPJ|ANGEL2|PLK5|ARID2,-1.4
MyList,GO Biological Processes,19,GO:0097435,supramolecular fiber organization,19_GO:0009987 cellular process,-3.6,2.8,4.3,30293,589,298,16,5.4,1.3,1289|1832|3717|4017|4205|4703|23435|23607|55125|55761|55835|55930|56776|57553|79875|283234,COL5A1|DSP|JAK2|LOXL2|MEF2A|NEB|TARDBP|CD2AP|CEP192|TTC17|CENPJ|MYO5C|FMN2|MICAL3|THSD4|CCDC88B,-1.3
MyList,GO Biological Processes,19,GO:0006979,response to oxidative stress,19_GO:0050896 response to stimulus,-3.6,3.4,4.5,30293,363,298,12,4,1.1,406|836|1909|2146|3717|4277|5111|5179|5311|5829|7352|79661,BMAL1|CASP3|EDNRA|EZH2|JAK2|MICB|PCNA|PENK|PKD2|PXN|UCP3|NEIL1,-1.3
MyList,GO Biological Processes,19,GO:0045739,positive regulation of DNA repair,19_GO:0048518 positive regulation of biological process,-3.5,5.5,5.1,30293,129,298,7,2.3,0.88,5111|51111|51720|54799|56776|80314|196528,PCNA|KMT5B|UIMC1|MBTD1|FMN2|EPC1|ARID2,-1.3
MyList,GO Biological Processes,19,GO:0003007,heart morphogenesis,19_GO:0032502 developmental process,-3.5,3.9,4.7,30293,263,298,10,3.4,1,1289|1832|1856|1909|3643|5311|9353|10427|54806|196528,COL5A1|DSP|DVL2|EDNRA|INSR|PKD2|SLIT2|SEC24B|AHI1|ARID2,-1.3
MyList,GO Biological Processes,19,GO:0070102,interleukin-6-mediated signaling pathway,19_GO:0050896 response to stimulus,-3.5,22,7.8,30293,14,298,3,1,0.58,3570|3717|6774,IL6R|JAK2|STAT3,-1.3
MyList,GO Biological Processes,19,GO:0051276,chromosome organization,19_GO:0009987 cellular process,-3.4,2.9,4.3,30293,485,298,14,4.7,1.2,1763|2146|3005|5111|8086|8940|23126|23353|55125|56652|57122|84444|114799|192670,DNA2|EZH2|H1-0|PCNA|AAAS|TOP3B|POGZ|SUN1|CEP192|TWNK|NUP107|DOT1L|ESCO1|AGO4,-1.2
MyList,GO Biological Processes,19,GO:0000018,regulation of DNA recombination,19_GO:0008152 metabolic process,-3.4,5.3,5,30293,134,298,7,2.3,0.88,3005|22976|51111|54799|56916|80314|196528,H1-0|PAXIP1|KMT5B|MBTD1|SMARCAD1|EPC1|ARID2,-1.2
MyList,GO Biological Processes,19,GO:0008406,gonad development,19_GO:0022414 reproductive process,-3.4,4.1,4.6,30293,224,298,9,3,0.99,836|3643|8322|9353|51742|57122|57728|84159|192670,CASP3|INSR|FZD4|SLIT2|ARID4B|NUP107|WDR19|ARID5B|AGO4,-1.2
MyList,GO Biological Processes,19,GO:0045786,negative regulation of cell cycle,19_GO:0048519 negative regulation of biological process,-3.4,3.2,4.3,30293,379,298,12,4,1.1,836|1763|2146|5311|5932|9656|29980|51720|55031|55367|84444|90806,CASP3|DNA2|EZH2|PKD2|RBBP8|MDC1|DONSON|UIMC1|USP47|PIDD1|DOT1L|ANGEL2,-1.2
MyList,GO Biological Processes,19,GO:0034655,nucleobase-containing compound catabolic process,19_GO:0008152 metabolic process,-3.3,3.4,4.3,30293,330,298,11,3.7,1.1,1655|1763|2023|5208|7378|28960|54464|55596|79661|192670|196513,DDX5|DNA2|ENO1|PFKFB2|UPP1|DCPS|XRN1|ZCCHC8|NEIL1|AGO4|DCP1B,-1.1
MyList,GO Biological Processes,19,GO:0045137,development of primary sexual characteristics,19_GO:0022414 reproductive process,-3.3,4,4.5,30293,229,298,9,3,0.99,836|3643|8322|9353|51742|57122|57728|84159|192670,CASP3|INSR|FZD4|SLIT2|ARID4B|NUP107|WDR19|ARID5B|AGO4,-1.1
MyList,GO Biological Processes,19,GO:0048385,regulation of retinoic acid receptor signaling pathway,19_GO:0050896 response to stimulus,-3.3,19,7.2,30293,16,298,3,1,0.58,2146|7181|22938,EZH2|NR2C1|SNW1,-1.1
MyList,GO Biological Processes,19,GO:0043484,regulation of RNA splicing,19_GO:0008152 metabolic process,-3.3,4.4,4.6,30293,184,298,8,2.7,0.94,1655|3187|8227|9584|9589|22938|57018|65110,DDX5|HNRNPH1|AKAP17A|RBM39|WTAP|SNW1|CCNL1|UPF3A,-1.1
MyList,GO Biological Processes,19,GO:0045930,negative regulation of mitotic cell cycle,19_GO:0048519 negative regulation of biological process,-3.3,4,4.5,30293,231,298,9,3,0.99,2146|5311|5932|9656|29980|51720|55031|55367|90806,EZH2|PKD2|RBBP8|MDC1|DONSON|UIMC1|USP47|PIDD1|ANGEL2,-1.1
MyList,GO Biological Processes,19,GO:0030522,intracellular receptor signaling pathway,19_GO:0050896 response to stimulus,-3.3,4.4,4.6,30293,186,298,8,2.7,0.94,1655|3717|6774|7181|9325|9572|22938|131566,DDX5|JAK2|STAT3|NR2C1|TRIP4|NR1D1|SNW1|DCBLD2,-1.1
MyList,GO Biological Processes,19,GO:1900180,regulation of protein localization to nucleus,19_GO:0051179 localization,-3.3,5,4.8,30293,143,298,7,2.3,0.88,3717|4931|23435|23607|26272|53371|201163,JAK2|NVL|TARDBP|CD2AP|FBXO4|NUP54|FLCN,-1.1
MyList,GO Biological Processes,19,GO:0032042,mitochondrial DNA metabolic process,19_GO:0008152 metabolic process,-3.2,18,7,30293,17,298,3,1,0.58,1763|11232|56652,DNA2|POLG2|TWNK,-1.1
MyList,GO Biological Processes,19,GO:0035065,regulation of histone acetylation,19_GO:0008152 metabolic process,-3.2,18,7,30293,17,298,3,1,0.58,4802|23451|201163,NFYC|SF3B1|FLCN,-1.1
MyList,GO Biological Processes,19,GO:2000573,positive regulation of DNA biosynthetic process,19_GO:0048518 positive regulation of biological process,-3.2,7.4,5.3,30293,69,298,5,1.7,0.74,4931|5111|11232|25849|26272,NVL|PCNA|POLG2|PARM1|FBXO4,-1.1
MyList,GO Biological Processes,19,GO:0045911,positive regulation of DNA recombination,19_GO:0048518 positive regulation of biological process,-3.2,7.4,5.3,30293,69,298,5,1.7,0.74,22976|51111|54799|80314|196528,PAXIP1|KMT5B|MBTD1|EPC1|ARID2,-1.1
MyList,GO Biological Processes,19,GO:0042698,ovulation cycle,19_GO:0048511 rhythmic process,-3.2,7.4,5.3,30293,69,298,5,1.7,0.74,836|5111|8322|9353|9612,CASP3|PCNA|FZD4|SLIT2|NCOR2,-1.1
MyList,GO Biological Processes,19,GO:0010948,negative regulation of cell cycle process,19_GO:0048519 negative regulation of biological process,-3.2,3.5,4.3,30293,289,298,10,3.4,1,1763|2146|5311|5932|9656|29980|51720|55031|55367|84444,DNA2|EZH2|PKD2|RBBP8|MDC1|DONSON|UIMC1|USP47|PIDD1|DOT1L,-1.1
MyList,GO Biological Processes,19,GO:0043542,endothelial cell migration,19_GO:0032501 multicellular organismal process,-3.2,7.2,5.2,30293,71,298,5,1.7,0.74,4017|5829|9353|11167|22976,LOXL2|PXN|SLIT2|FSTL1|PAXIP1,-1.1
