_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.4,GO:0042180,cellular ketone metabolic process,M1,1,0
1,-2.9,GO:0002455,humoral immune response mediated by circulating immunoglobulin,M1,1,0
1,-2.8,GO:1903828,negative regulation of protein localization,M1,1,0
1,-4.4,GO:0051894,positive regulation of focal adhesion assembly,M1,1,0
1,-2.4,GO:0048562,embryonic organ morphogenesis,M1,1,0
1,-2.6,GO:1901890,positive regulation of cell junction assembly,M1,1,0
1,-2.1,GO:0098926,postsynaptic signal transduction,M1,1,0
1,-2.5,GO:0045685,regulation of glial cell differentiation,M1,1,0
1,-2.1,GO:0010976,positive regulation of neuron projection development,M1,1,0
1,-3.8,GO:1903034,regulation of response to wounding,M1,1,0
1,-2.4,GO:0032869,cellular response to insulin stimulus,M1,1,0
1,-4.5,GO:1901607,alpha-amino acid biosynthetic process,M1,1,0
1,-3.6,GO:0071398,cellular response to fatty acid,M1,1,0
1,-3,GO:0035019,somatic stem cell population maintenance,M1,1,0
1,-4.4,GO:0050767,regulation of neurogenesis,M1,1,0
1,-4.4,GO:0031400,negative regulation of protein modification process,M1,1,0
