Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-8.4,2.5,6.9,30293,516,1140,49,4.3,0.6,30|33|240|718|1109|1573|1622|1645|1891|2023|2052|2109|2110|2184|2628|2639|2950|3028|3141|3418|3712|3992|3995|4199|5947|6307|8309|8644|9200|9415|10170|10449|10455|23205|26227|28965|51084|55862|56898|59342|63826|79966|80221|80339|81888|84532|92126|113189|197257,ACAA1|ACADL|ALOX5|C3|AKR1C4|CYP2J2|DBI|AKR1C1|ECH1|ENO1|EPHX1|ETFB|ETFDH|FAH|GATM|GCDH|GSTP1|HSD17B10|HLCS|IDH2|IVD|FADS1|FADS3|ME1|RBP1|MSMO1|ACOX2|AKR1C3|HACD1|FADS2|DHRS9|ACAA2|ECI2|ACSBG1|PHGDH|SLC27A6|CRYL1|ECHDC1|BDH2|SCPEP1|SRR|SCD5|ACSF2|PNPLA3|HYI|ACSS1|DSEL|CHST14|LDHD,-5.6,MyList
GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-8.4,2.4,6.8,30293,567,1140,52,4.6,0.62,136|240|348|613|952|1137|1595|2550|2697|2746|2771|3689|3741|3822|4067|4129|4988|5021|5028|5872|5874|5950|6422|6623|6664|6720|6810|6814|7099|8111|8447|8673|8736|8792|8938|9501|10972|27236|27345|29091|51083|51092|51760|55636|64215|79651|79971|84062|94121|114899|115827|100507043,ADORA2B|ALOX5|APOE|BCR|CD38|CHRNA4|CYP51A1|GABBR1|GJA1|GLUD1|GNAI2|ITGB2|KCNA5|KLRC2|LYN|MAOB|OPRM1|OXTR|P2RY1|RAB13|RAB27B|RBP4|SFRP1|SNCG|SOX11|SREBF1|STX4|STXBP3|TLR4|GPR68|DOC2B|VAMP8|MYOM1|TNFRSF11A|BAIAP3|RPH3AL|TMED10|ARFIP1|KCNMB4|STXBP6|GAL|SIDT2|SYT17|CHD7|DNAJC1|RHBDF2|WLS|DTNBP1|SYTL4|C1QTNF3|RAB3C|TUNAR,-5.6,MyList
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-8.4,2.2,6.7,30293,722,1140,61,5.4,0.67,71|136|199|430|613|677|678|712|865|923|952|975|1137|1191|1316|1524|2214|2697|3175|3689|3821|3936|4067|4495|5028|5052|5154|5156|5245|5293|5580|5588|5788|6284|6404|6814|7098|7099|7248|7409|7462|8451|8934|8935|9308|9734|10758|23657|25800|29071|54361|54518|55509|55636|57705|79626|84868|90865|112616|221395|284021,ACTG1|ADORA2B|AIF1|ASCL2|BCR|ZFP36L1|ZFP36L2|C1QA|CBFB|CD6|CD38|CD81|CHRNA4|CLU|KLF6|CX3CR1|FCGR3A|GJA1|ONECUT1|ITGB2|KLRC1|LCP1|LYN|MT1G|P2RY1|PRDX1|PDGFA|PDGFRA|PHB1|PIK3CD|PRKCD|PRKCQ|PTPRC|S100A13|SELPLG|STXBP3|TLR3|TLR4|TSC1|VAV1|LAT2|CUL4A|RAB29|SKAP2|CD83|HDAC9|TRAF3IP2|SLC7A11|SLC39A6|C1GALT1C1|WNT4|APBB1IP|BATF3|CHD7|WDFY4|TNFAIP8L2|HAVCR2|IL33|CMTM7|ADGRF5|MILR1,-5.6,MyList
GO Biological Processes,19,GO:0010721,negative regulation of cell development,19_GO:0032502 developmental process,-8.4,3.1,7.2,30293,288,1140,34,3,0.5,393|430|655|714|865|1050|1910|3149|3400|3949|4067|4504|5080|5764|6422|6664|6993|7098|7099|7101|7130|7274|7474|8111|8451|8829|11006|28959|53342|55365|56896|58190|151176|388585,ARHGAP4|ASCL2|BMP7|C1QC|CBFB|CEBPA|EDNRB|HMGB3|ID4|LDLR|LYN|MT3|PAX6|PTN|SFRP1|SOX11|DYNLT1|TLR3|TLR4|NR2E1|TNFAIP6|TTPA|WNT5A|GPR68|CUL4A|NRP1|LILRB4|TMEM176B|IL17D|TMEM176A|DPYSL5|CTDSP1|ERFE|HES5,-5.6,MyList
GO Biological Processes,19,GO:0031175,neuron projection development,19_GO:0032502 developmental process,-8.3,2.3,6.7,30293,691,1140,59,5.2,0.66,71|288|348|655|780|1009|1272|1501|1948|2596|2670|2824|3730|4067|4134|4983|5080|5361|5588|5727|5764|5792|5803|5872|6091|6277|7101|7314|7345|7436|7474|7477|7873|7940|8829|9721|10100|10160|10381|11021|23043|23114|26227|28988|55364|55701|56896|57216|64221|66000|81551|81628|84062|127933|221074|282991|284217|388585|100507043,ACTG1|ANK3|APOE|BMP7|DDR1|CDH11|CNTN1|CTNND2|EFNB2|GAP43|GFAP|GPM6B|ANOS1|LYN|MAP4|OPHN1|PAX6|PLXNA1|PRKCQ|PTCH1|PTN|PTPRF|PTPRZ1|RAB13|ROBO1|S100A6|NR2E1|UBB|UCHL1|VLDLR|WNT5A|WNT7B|MANF|LST1|NRP1|GPRIN2|TSPAN2|FARP1|TUBB3|RAB35|TNIK|NFASC|PHGDH|DBNL|IMPACT|ARHGEF40|DPYSL5|VANGL2|ROBO3|TMEM108|STMN4|TSC22D4|DTNBP1|UHMK1|SLC39A12|BLOC1S2|LAMA1|HES5|TUNAR,-5.5,MyList
GO Biological Processes,19,GO:0071294,cellular response to zinc ion,19_GO:0050896 response to stimulus,-8.2,11,9.8,30293,24,1140,10,0.88,0.28,2742|4489|4490|4493|4494|4495|4501|4502|4504|84329,GLRA2|MT1A|MT1B|MT1E|MT1F|MT1G|MT1X|MT2A|MT3|HVCN1,-5.4,MyList
GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-8.2,2.2,6.5,30293,785,1140,64,5.6,0.68,199|240|348|430|590|655|780|1032|1050|1718|1871|1948|2173|2247|2495|2550|2768|2950|3162|4067|4087|4988|5080|5245|5727|5764|5920|5950|6091|6422|6441|6567|6657|6662|6664|6678|6751|7101|7248|7474|7940|8862|8935|9104|9289|9500|10519|10549|11006|11061|11180|23251|23576|26232|26471|27152|30008|51083|55612|57413|84868|85477|90865|654346,AIF1|ALOX5|APOE|ASCL2|BCHE|BMP7|DDR1|CDKN2D|CEBPA|DHCR24|E2F3|EFNB2|FABP7|FGF2|FTH1|GABBR1|GNA12|GSTP1|HMOX1|LYN|SMAD2|OPRM1|PAX6|PHB1|PTCH1|PTN|PLAAT4|RBP4|ROBO1|SFRP1|SFTPD|SLC16A2|SOX2|SOX9|SOX11|SPARC|SSTR1|NR2E1|TSC1|WNT5A|LST1|APLN|SKAP2|RGN|ADGRG1|MAGED1|CIB1|PRDX4|LILRB4|CNMD|WDR6|MINAR1|DDAH1|FBXO2|NUPR1|INTU|EFEMP2|GAL|FERMT1|TMIGD3|HAVCR2|SCIN|IL33|LGALS9C,-5.4,MyList
GO Biological Processes,19,GO:1901617,organic hydroxy compound biosynthetic process,19_GO:0008152 metabolic process,-8.1,3.9,7.4,30293,172,1140,25,2.2,0.43,1109|1595|1717|1718|3028|3067|3157|3422|3638|4047|4598|5092|6307|6309|6720|7108|8309|8644|8912|9023|10449|50814|51478|51706|171546,AKR1C4|CYP51A1|DHCR7|DHCR24|HSD17B10|HDC|HMGCS1|IDI1|INSIG1|LSS|MVK|PCBD1|MSMO1|SC5D|SREBF1|TM7SF2|ACOX2|AKR1C3|CACNA1H|CH25H|ACAA2|NSDHL|HSD17B7|CYB5R1|SPTSSA,-5.4,MyList
GO Biological Processes,19,GO:0071248,cellular response to metal ion,19_GO:0050896 response to stimulus,-8,3.6,7.3,30293,200,1140,27,2.4,0.45,113|288|358|1050|1536|1740|2742|3162|3725|4489|4490|4493|4494|4495|4501|4502|4504|6609|7184|7474|8437|8644|8912|27132|51760|84329|221184,ADCY7|ANK3|AQP1|CEBPA|CYBB|DLG2|GLRA2|HMOX1|JUN|MT1A|MT1B|MT1E|MT1F|MT1G|MT1X|MT2A|MT3|SMPD1|HSP90B1|WNT5A|RASAL1|AKR1C3|CACNA1H|CPNE7|SYT17|HVCN1|CPNE2,-5.3,MyList
GO Biological Processes,19,GO:0046165,alcohol biosynthetic process,19_GO:0008152 metabolic process,-8,5.1,7.9,30293,93,1140,18,1.6,0.37,1595|1717|1718|3157|3422|3638|4047|4598|5092|6307|6309|6720|7108|8912|10449|50814|51478|171546,CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LSS|MVK|PCBD1|MSMO1|SC5D|SREBF1|TM7SF2|CACNA1H|ACAA2|NSDHL|HSD17B7|SPTSSA,-5.3,MyList
