Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0051668,localization within membrane,19_GO:0051179 localization,-5.4,3.1,5.6,30293,557,389,22,5.7,1.2,88|819|1740|3320|4905|5824|6734|9270|9312|25782|26519|51248|51560|54557|55737|57154|81832|115827|128866|145567|282679|401505,ACTN2|CAMLG|DLG2|HSP90AA1|NSF|PEX19|SRPRA|ITGB1BP1|KCNB2|RAB3GAP2|TIMM10|PDZD11|RAB6B|SGTB|VPS35|SMURF1|NETO1|RAB3C|CHMP4B|TTC7B|AQP11|TOMM5,-2.8,MyList
GO Biological Processes,19,GO:0099003,vesicle-mediated transport in synapse,19_GO:0051179 localization,-5.3,5.6,6.5,30293,153,389,11,2.8,0.84,528|1175|5874|6623|6857|8927|9342|10947|23025|55737|80331,ATP6V1C1|AP2S1|RAB27B|SNCG|SYT1|BSN|SNAP29|AP3M2|UNC13A|VPS35|DNAJC5,-2.7,MyList
GO Biological Processes,19,GO:0006511,ubiquitin-dependent protein catabolic process,19_GO:0008152 metabolic process,-5.2,3.1,5.5,30293,530,389,21,5.4,1.1,2932|4738|5527|5700|5710|5713|5718|6921|6992|7320|9867|10040|23392|57154|57484|79589|80344|83892|128866|143384|171222,GSK3B|NEDD8|PPP2R5C|PSMC1|PSMD4|PSMD7|PSMD12|ELOC|PPP1R11|UBE2B|PJA2|TOM1L1|ECPAS|SMURF1|RNF150|RNF128|DCAF11|KCTD10|CHMP4B|CACUL1|UBE2L5,-2.7,MyList
GO Biological Processes,19,GO:0033108,mitochondrial respiratory chain complex assembly,19_GO:0009987 cellular process,-5.2,6.9,6.8,30293,101,389,9,2.3,0.76,4700|4706|4714|4725|7386|29078|55245|55744|131474,NDUFA6|NDUFAB1|NDUFB8|NDUFS5|UQCRFS1|NDUFAF4|UQCC1|COA1|CHCHD4,-2.7,MyList
GO Biological Processes,19,GO:0050000,chromosome localization,19_GO:0051179 localization,-5.2,6.9,6.8,30293,102,389,9,2.3,0.76,1063|3619|7320|22919|81565|81620|81929|113130|128866,CENPF|INCENP|UBE2B|MAPRE1|NDEL1|CDT1|SEH1L|CDCA5|CHMP4B,-2.6,MyList
GO Biological Processes,19,GO:0019941,modification-dependent protein catabolic process,19_GO:0008152 metabolic process,-5.1,3,5.4,30293,540,389,21,5.4,1.1,2932|4738|5527|5700|5710|5713|5718|6921|6992|7320|9867|10040|23392|57154|57484|79589|80344|83892|128866|143384|171222,GSK3B|NEDD8|PPP2R5C|PSMC1|PSMD4|PSMD7|PSMD12|ELOC|PPP1R11|UBE2B|PJA2|TOM1L1|ECPAS|SMURF1|RNF150|RNF128|DCAF11|KCTD10|CHMP4B|CACUL1|UBE2L5,-2.6,MyList
GO Biological Processes,19,GO:0010638,positive regulation of organelle organization,19_GO:0048518 positive regulation of biological process,-5,3.1,5.4,30293,502,389,20,5.1,1.1,88|2932|3984|4131|5570|6836|6857|7320|9270|10059|10787|11075|11152|22919|25782|55187|55737|80115|80856|171024,ACTN2|GSK3B|LIMK1|MAP1B|PKIB|SURF4|SYT1|UBE2B|ITGB1BP1|DNM1L|NCKAP1|STMN2|WDR45|MAPRE1|RAB3GAP2|VPS13D|VPS35|BAIAP2L2|LNPK|SYNPO2,-2.5,MyList
GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0050789 regulation of biological process,-5,3.2,5.5,30293,460,389,19,4.9,1.1,1137|1740|2776|2932|3354|3785|3786|4885|6623|6857|6863|8927|9342|23025|27345|51248|56888|63908|80331,CHRNA4|DLG2|GNAQ|GSK3B|HTR1E|KCNQ2|KCNQ3|NPTX2|SNCG|SYT1|TAC1|BSN|SNAP29|UNC13A|KCNMB4|PDZD11|KCMF1|NAPB|DNAJC5,-2.5,MyList
GO Biological Processes,19,GO:0043632,modification-dependent macromolecule catabolic process,19_GO:0008152 metabolic process,-5,3,5.3,30293,551,389,21,5.4,1.1,2932|4738|5527|5700|5710|5713|5718|6921|6992|7320|9867|10040|23392|57154|57484|79589|80344|83892|128866|143384|171222,GSK3B|NEDD8|PPP2R5C|PSMC1|PSMD4|PSMD7|PSMD12|ELOC|PPP1R11|UBE2B|PJA2|TOM1L1|ECPAS|SMURF1|RNF150|RNF128|DCAF11|KCTD10|CHMP4B|CACUL1|UBE2L5,-2.5,MyList
GO Biological Processes,19,GO:1901137,carbohydrate derivative biosynthetic process,19_GO:0008152 metabolic process,-4.9,2.9,5.3,30293,596,389,22,5.7,1.2,515|522|1353|2977|3251|4351|4700|4706|4714|4725|4830|5162|6391|7167|9334|9551|10476|51363|64131|81849|139596|282679,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|MPI|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|TPI1|B4GALT5|ATP5MF|ATP5PD|CHST15|XYLT1|ST6GALNAC5|UPRT|AQP11,-2.5,MyList
